Comment,Description,Designator,Footprint,Quantity,Manufacturer,Manufacturer Part Number,Distributor Link
"100n","Capacitor SMD 0402 25V","C1, C4, C5, C10, C11","CAP_0402","5","Murata","GRM155R71H104KE14D","https://www.mouser.de/ProductDetail/Murata-Electronics/GRM155R71H104KE14D?qs=2UZY3JfgLCy9gG9icKV9Yg%3D%3D"
"4u7","Capacitor SMD 0603 25V","C2, C3, C6, C7, C9, C12, C13","CAP_0603","7","Murata","GRT188R61E475ME13D","https://www.mouser.de/ProductDetail/Murata-Electronics/GRT188R61E475ME13D?qs=sGAEpiMZZMvsSlwiRhF8qquPIBdUMwzgRaX4X%2FWWRln9HlRbg8TjFQ%3D%3D"
"RED","LED 0402 RED SMD","D1","LED_0402_RED","1","Lite-On","LTST-C281KRKT","https://www.mouser.de/ProductDetail/Lite-On/LTST-C281KRKT?qs=xb8aMrBSZRKAPWJcmf%2F7XQ%3D%3D"
"PMEG1020EA,115","Diode Schottky SMD SOD-323","D2, D3","SOD-323","2","Nexperia","PMEG1020EA,115","https://www.mouser.de/ProductDetail/Nexperia/PMEG1020EA115?qs=LOCUfHb8d9vgI3RbmovPSQ%3D%3D"
"GREEN","LED 0402 GREEN SMD","D4, D5","LED_0402_GREEN","2","Lite-On","LTST-C281KGKT","https://www.mouser.de/ProductDetail/Lite-On/LTST-C281KGKT?qs=xb8aMrBSZRJ6%2FVAKgwiAkw%3D%3D"
"2A","Fuse PPTC SMD 1206","F1","FUSE_1206","1","Eaton","PTS12066V200","https://www.mouser.de/ProductDetail/Bussmann-Eaton/PTS12066V200?qs=QmibqUXyDhS%2F0O9QsSQTuw%3D%3D"
"TYPE-C-31-M-12","USB Type C Connector Horizontal SMT","J1","TYPE-C-31-M-12","1","Koren Hroparts","TYPE-C-31-M-12","https://www.lcsc.com/product-detail/USB-Connectors_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.html"
"1725669","Screw Terminal Block 3 Positions 2.54mm","J2","1725669","1","Phoenix","1725669","https://www.mouser.de/ProductDetail/Phoenix-Contact/1725669?qs=A%2FKWGUWTCZjmkTL0Oe91ew%3D%3D"
"4u7","Shielded Power Inductor SMD SRP3212A","L1, L2","SRP3212A","2","Bourns","SRP3212A-4R7M","https://www.mouser.de/ProductDetail/Bourns/SRP3212A-4R7M?qs=t7xnP681wgUDaQ9KSPrZtA%3D%3D"
"SIA931DJ-T1-GE3","MOSFET 2P-CH 30V 4.5A SC70-6L","Q1","FP-C-07431-DUAL-MFG","1","Vishay","SIA931DJ-T1-GE3","https://www.mouser.de/ProductDetail/Vishay-Semiconductors/SIA931DJ-T1-GE3?qs=c9a7l%2FSwUkL86B%2FuBqErTg%3D%3D"
"SSM3K72KCT,L3F","MOSFET N-Channel Vds=60V Id=400mA Rds(on)=1.05R with ESD Protection","Q2","CST3-SOT-883","1","Toshiba","SSM3K72KCT,L3F","https://www.mouser.de/ProductDetail/Toshiba/SSM3K72KCTL3F?qs=PDgMCp4xDJZBSQ%2Fqg29QOw%3D%3D"
"0R","Resistor SMD 0402","R2, R4, R8, R10","RES_0402","4","YAGEO","RC0402FR-070RL","https://www.mouser.de/ProductDetail/YAGEO/RC0402FR-070RL?qs=sxZXDnvRBEhfSy4CZGX2ww%3D%3D"
"20k","Resistor SMD 0402","R5, R6, R9, R14, R16, R18","RES_0402","6","YAGEO"," RC0402FR-0720KL","https://www.mouser.de/ProductDetail/YAGEO/RC0402FR-0720KL?qs=V1yeUXFNrklxRvgYM5JI2A%3D%3D"
"2k2","Resistor SMD 0402","R11, R13, R19, R20","RES_0402","4","YAGEO","RC0402FR-072K2L","https://www.mouser.de/ProductDetail/YAGEO/RC0402FR-072K2L?qs=YUgVZYePFqCtk4LkRUkHoA%3D%3D"
"180k","Resistor SMD 0402","R12, R17","RES_0402","2","YAGEO","RC0402FR-07180KL","https://www.mouser.de/ProductDetail/YAGEO/RC0402FR-07180KL?qs=V1yeUXFNrkktQqb8%2Fwvwvg%3D%3D"
"205k","Resistor SMD 0402","R15","RES_0402","1","YAGEO","RC0402FR-07205KL","https://www.mouser.de/ProductDetail/YAGEO/RC0402FR-07205KL?qs=UOUeRUa%252B8WmAlokY7gqvbQ%3D%3D"
"CYPD3177-24LQXQ","USB Type-C Port Controller for Power Sinks","U1","QFN-24-0MM5","1","Cypress Semicon","CYPD3177-24LQXQ","https://www.lcsc.com/product-detail/USB-ICs_Cypress-Semicon-CYPD3177-24LQXQ_C2959321.html"
"BD8316GWL-E2","Step-up and inverted 2-channel DC/DC converter with Built-in Power MOSFET 1.6MHz 1A","U2","UCSP50L1","1","ROHM","BD8316GWL-E2","https://www.mouser.de/ProductDetail/ROHM-Semiconductor/BD8316GWL-E2?qs=9Cg39qEKpi4sbGytSKsU5Q%3D%3D"
