"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C1","100n","Top","CAP_0402","12.7500","-1.7500","90","Capacitor SMD 0402 25V"
"J2","1725669","Top","1725669","40.2700","0.0000","90","Screw Terminal Block 3 Positions 2.54mm"
"U2","BD8316GWL-E2","Top","UCSP50L1","30.0000","0.0000","0","Step-up and inverted 2-channel DC/DC converter with Built-in Power MOSFET 1.6MHz 1A"
"U1","CYPD3177-24LQXQ","Top","QFN-24-0MM5","15.7500","0.0000","180","USB Type-C Port Controller for Power Sinks"
"R20","2k2","Top","RES_0402","39.0000","-6.5000","0","Resistor SMD 0402"
"R19","2k2","Top","RES_0402","39.0000","6.5000","0","Resistor SMD 0402"
"R18","20k","Top","RES_0402","30.2500","-2.2500","270","Resistor SMD 0402"
"R17","180k","Top","RES_0402","31.2500","-2.2500","270","Resistor SMD 0402"
"R16","20k","Top","RES_0402","32.2500","-2.2500","90","Resistor SMD 0402"
"R15","205k","Top","RES_0402","33.2500","-2.2500","270","Resistor SMD 0402"
"R14","20k","Top","RES_0402","34.7500","3.0000","90","Resistor SMD 0402"
"R13","2k2","Top","RES_0402","12.7500","-6.2500","90","Resistor SMD 0402"
"R12","180k","Top","RES_0402","15.5000","-6.2500","90","Resistor SMD 0402"
"R11","2k2","Top","RES_0402","18.5000","3.0000","180","Resistor SMD 0402"
"R10","0R","Top","RES_0402","19.0000","5.0000","270","Resistor SMD 0402"
"R9","20k","Top","RES_0402","11.2500","4.5000","90","Resistor SMD 0402"
"R8","0R","Top","RES_0402","21.0000","2.0000","180","Resistor SMD 0402"
"R6","20k","Top","RES_0402","21.0000","0.0000","180","Resistor SMD 0402"
"R5","20k","Top","RES_0402","21.0000","1.0000","0","Resistor SMD 0402"
"R4","0R","Top","RES_0402","21.0000","-4.0000","180","Resistor SMD 0402"
"R2","0R","Top","RES_0402","21.0000","-2.0000","180","Resistor SMD 0402"
"Q2","SSM3K72KCT,L3F","Top","CST3-SOT-883","14.0000","-6.5000","0","MOSFET N-Channel Vds=60V Id=400mA Rds(on)=1.05R with ESD Protection"
"Q1","SIA931DJ-T1-GE3","Top","FP-C-07431-DUAL-MFG","15.7500","5.0000","0","MOSFET 2P-CH 30V 4.5A SC70-6L"
"L2","4u7","Top","SRP3212A","27.0000","-2.2500","90","Shielded Power Inductor SMD SRP3212A"
"L1","4u7","Top","SRP3212A","30.0000","3.0000","0","Shielded Power Inductor SMD SRP3212A"
"J1","TYPE-C-31-M-12","Top","TYPE-C-31-M-12","4.3750","0.0000","270","USB Type C Connector Horizontal SMT"
"F1","2A","Top","FUSE_1206","9.5000","2.2500","90","Fuse PPTC SMD 1206"
"D5","GREEN","Top","LED_0402_GREEN","41.0000","-6.5000","180","LED 0402 GREEN SMD"
"D4","GREEN","Top","LED_0402_GREEN","41.0000","6.5000","180","LED 0402 GREEN SMD"
"D3","PMEG1020EA,115","Top","SOD-323","24.5000","-2.2500","90","Diode Schottky SMD SOD-323"
"D2","PMEG1020EA,115","Top","SOD-323","33.2500","3.0000","270","Diode Schottky SMD SOD-323"
"D1","RED","Top","LED_0402_RED","12.7500","-4.0000","270","LED 0402 RED SMD"
"C13","4u7","Top","CAP_0603","25.2500","-5.0000","180","Capacitor SMD 0603 25V"
"C12","4u7","Top","CAP_0603","33.2500","0.0000","90","Capacitor SMD 0603 25V"
"C11","100n","Top","CAP_0402","29.2500","-2.2500","90","Capacitor SMD 0402 25V"
"C10","100n","Top","CAP_0402","31.7500","0.0000","270","Capacitor SMD 0402 25V"
"C9","4u7","Top","CAP_0603","27.2500","0.5000","0","Capacitor SMD 0603 25V"
"C7","4u7","Top","CAP_0603","12.5000","4.2500","90","Capacitor SMD 0603 25V"
"C6","4u7","Top","CAP_0603","18.5000","-3.7500","90","Capacitor SMD 0603 25V"
"C5","100n","Top","CAP_0402","16.2500","-3.0000","0","Capacitor SMD 0402 25V"
"C4","100n","Top","CAP_0402","21.0000","4.0000","0","Capacitor SMD 0402 25V"
"C3","4u7","Top","CAP_0603","16.2500","-4.5000","0","Capacitor SMD 0603 25V"
"C2","4u7","Top","CAP_0603","8.7500","5.7500","0","Capacitor SMD 0603 25V"
